         296499595 function calls (296492157 primitive calls) in 164.738 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 series.py:3136(_sanitize_array)
        1    0.000    0.000    0.000    0.000 queue.py:1(<module>)
       10    0.000    0.000    0.000    0.000 pyparsing.py:3829(__init__)
       62    0.000    0.000    0.000    0.000 lazy.py:92(lazy)
        9    0.000    0.000    0.000    0.000 moments.py:674(_expanding_func)
        8    0.000    0.000    0.000    0.000 core.py:8029(getdoc)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       73    0.000    0.000    0.000    0.000 signal.py:10(<lambda>)
      196    0.000    0.000    0.000    0.000 arrayprint.py:809(<genexpr>)
      106    0.000    0.000    0.000    0.000 enum.py:872(_power_of_two)
        1    0.000    0.000    0.000    0.000 groupby.py:2456(BinGrouper)
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
        6    0.000    0.000    0.000    0.000 pyparsing.py:4759(<lambda>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:4761(<genexpr>)
       97    0.000    0.000    0.000    0.000 pyparsing.py:1328(preParse)
        1    0.000    0.000    0.000    0.000 datetimelike.py:64(TimelikeOps)
        2    0.000    0.000    0.000    0.000 textwrap.py:233(_wrap_chunks)
        3    0.000    0.000    0.000    0.000 pool.py:791(_setup_queues)
       45    0.000    0.000    0.000    0.000 pyparsing.py:1167(setName)
       12    0.000    0.000    0.000    0.000 ops.py:1275(_flex_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1811(HermiteE)
        2    0.000    0.000    0.000    0.000 textwrap.py:336(_split_chunks)
        1    0.000    0.000    0.000    0.000 frozen.py:9(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2700(MaskedArray)
       30    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       26    0.000    0.000    0.000    0.000 _methods.py:28(_amin)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1819(__radd__)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3039(__init__)
      408    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
       72    0.000    0.000    0.000    0.000 numerictypes.py:128(english_lower)
       13    0.000    0.000    0.000    0.000 contextlib.py:79(__enter__)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
      138    0.000    0.000    0.000    0.000 expr.py:147(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:297(wrapper)
       12    0.000    0.000    0.000    0.000 printing.py:158(pprint_thing)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1125(_parse_octet)
     39/1    0.000    0.000    0.000    0.000 copy.py:132(deepcopy)
       29    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:845(_cache_bytecode)
        2    0.000    0.000    0.000    0.000 concat.py:3(<module>)
      299    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 response.py:7(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
      421    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.000    0.000 series.py:3153(_try_cast)
       59    0.000    0.000    0.000    0.000 {built-in method numpy.core.umath.seterrobj}
        1    0.000    0.000    0.000    0.000 pathlib.py:107(_WindowsFlavour)
      114    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
       21    0.000    0.000    0.000    0.000 getlimits.py:507(__init__)
      5/1    0.000    0.000    0.000    0.000 copy.py:236(_deepcopy_dict)
        7    0.000    0.000    0.000    0.000 functools.py:479(decorating_function)
        1    0.000    0.000    0.000    0.000 parquet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 groupby.py:3587(NDFrameGroupBy)
       26    0.000    0.000    0.000    0.000 calendar.py:58(__getitem__)
        3    0.000    0.000    0.000    0.000 __init__.py:476(PYFUNCTYPE)
        5    0.000    0.000    0.000    0.000 _depr_module.py:26(__init__)
       15    0.000    0.000    0.000    0.000 os.py:664(__getitem__)
        9    0.000    0.000    0.000    0.000 six.py:91(__get__)
       13    0.000    0.000    0.000    0.000 nanops.py:68(__call__)
      4/2    0.000    0.000    0.000    0.000 common.py:1817(_get_dtype_from_object)
       98    0.000    0.000    0.000    0.000 sre_compile.py:102(fixup)
       41    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 units.py:43(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
       29    0.000    0.000    0.000    0.000 numeric.py:2853(__init__)
       11    0.000    0.000    0.000    0.000 re.py:324(_subx)
        1    0.000    0.000    0.000    0.000 expr.py:252(f)
        1    0.000    0.000    0.000    0.000 scope.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _core.py:1156(BarPlot)
        1    0.000    0.000    0.000    0.000 core.py:2765(__new__)
        2    0.000    0.000    0.000    0.000 textwrap.py:160(_split)
       12    0.000    0.000    0.000    0.000 ops.py:1322(_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
      168    0.000    0.000    0.000    0.000 pyparsing.py:3248(<genexpr>)
        1    0.000    0.000    0.000    0.000 message.py:945(MIMEPart)
        6    0.000    0.000    0.000    0.000 core.py:1137(__init__)
        2    0.000    0.000    0.000    0.000 core.py:2928(__array_finalize__)
       98    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 _globals.py:17(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(exec_module)
      243    0.000    0.000    0.000    0.000 {built-in method _sre.getlower}
        3    0.000    0.000    0.000    0.000 __init__.py:36(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1570(_MutuallyExclusiveGroup)
      196    0.000    0.000    0.000    0.000 arrayprint.py:813(<genexpr>)
        1    0.000    0.000    0.000    0.000 cycler.py:41(<module>)
      124    0.000    0.000    0.000    0.000 pyparsing.py:2131(__str__)
        7    0.000    0.000    0.000    0.000 pyparsing.py:3913(__init__)
       88    0.000    0.000    0.000    0.000 six.py:141(__init__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1613(_make_netmask)
        1    0.000    0.000    0.000    0.000 window.py:1307(RollingGroupby)
       99    0.000    0.000    0.000    0.000 ipaddress.py:1883(__init__)
       11    0.000    0.000    0.000    0.000 version.py:51(__lt__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:452(_set_array_types)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       57    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
        1    0.000    0.000    0.000    0.000 __init__.py:546(_get_config_or_cache_dir)
      238    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
       37    0.000    0.000    0.000    0.000 deprecation.py:22(_generate_deprecation_message)
        3    0.000    0.000    0.000    0.000 __init__.py:164(compare_versions)
        6    0.000    0.000    0.000    0.000 timedeltas.py:59(_td_index_cmp)
        1    0.000    0.000    0.000    0.000 numeric.py:196(UInt64Index)
        1    0.000    0.000    0.000    0.000 token.py:74(<dictcomp>)
        1    0.000    0.000    0.000    0.000 numeric.py:2889(<listcomp>)
        3    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       20    0.000    0.000    0.000    0.000 pyparsing.py:2685(parseImpl)
       53    0.000    0.000    0.000    0.000 pyparsing.py:3559(<genexpr>)
        5    0.000    0.000    0.000    0.000 fontconfig_pattern.py:144(_family)
      108    0.000    0.000    0.000    0.000 six.py:184(find_module)
      205    0.000    0.000    0.000    0.000 enum.py:592(name)
       68    0.000    0.000    0.000    0.000 ipaddress.py:1251(__init__)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
       13    0.000    0.000    0.000    0.000 {method 'find_loader' of 'zipimport.zipimporter' objects}
        3    0.000    0.000    0.000    0.000 pool.py:349(apply_async)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2004(__call__)
        4    0.000    0.000    0.000    0.000 base.py:3965(_add_numeric_methods_binary)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       78    0.000    0.000    0.000    0.000 _internal.py:722(<genexpr>)
        3    0.000    0.000    0.000    0.000 re.py:314(_compile_repl)
       16    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
        1    0.000    0.000    0.000    0.000 pickle_compat.py:3(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:919(_open_file_or_url)
        7    0.000    0.000    0.000    0.000 nanops.py:95(__call__)
       23    0.000    0.000    0.000    0.000 function.py:31(__init__)
       14    0.000    0.000    0.000    0.000 calendar.py:77(__getitem__)
       14    0.000    0.000    0.000    0.000 version.py:331(_cmp)
       23    0.000    0.000    0.000    0.000 numerictypes.py:217(_evalname)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:850(set_data)
        1    0.000    0.000    0.000    0.000 chainmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 parser.py:486(__init__)
        1    0.000    0.000    0.000    0.000 ufunclike.py:5(<module>)
        1    0.000    0.000    0.000    0.000 list.py:12(SparseList)
       10    0.000    0.000    0.000    0.000 offsets.py:108(apply_index_wraps)
       57    0.000    0.000    0.000    0.000 __init__.py:19(__new__)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
       12    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
       70    0.000    0.000    0.000    0.000 rcsetup.py:64(__call__)
      291    0.000    0.000    0.000    0.000 __init__.py:781(<genexpr>)
        1    0.000    0.000    0.000    0.000 parser.py:283(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
        1    0.000    0.000    0.000    0.000 threading.py:1190(__init__)
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:778(_construct_lookups)
        1    0.000    0.000    0.000    0.000 pytables.py:2215(Fixed)
        1    0.000    0.000    0.000    0.000 __init__.py:257(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:370(wrapper)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        3    0.000    0.000    0.000    0.000 sre_parse.py:876(parse_template)
        1    0.000    0.000    0.000    0.000 testing.py:2724(SubclassedDataFrame)
      191    0.000    0.000    0.000    0.000 _decorators.py:181(__init__)
        4    0.000    0.000    0.000    0.000 _decorators.py:248(indent)
      118    0.000    0.000    0.000    0.000 {built-in method numpy.core.umath.geterrobj}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 accessor.py:7(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:158(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       60    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
      262    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
        1    0.000    0.000    0.000    0.000 helper.py:4(<module>)
       66    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
       13    0.000    0.000    0.000    0.000 contextlib.py:157(helper)
        1    0.000    0.000    0.000    0.000 window.py:60(_Window)
        7    0.000    0.000    0.000    0.000 pyparsing.py:3076(__init__)
       11    0.000    0.000    0.000    0.000 pyparsing.py:4543(_escapeRegexRangeChars)
        1    0.000    0.000    0.000    0.000 __init__.py:518(_get_xdg_config_dir)
        2    0.000    0.000    0.000    0.000 missing.py:3(<module>)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1075(_make_netmask)
       14    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
      109    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 path.py:30(Path)
        2    0.000    0.000    0.000    0.000 __init__.py:485(_get_home)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
       88    0.000    0.000    0.000    0.000 traceback.py:286(walk_stack)
      155    0.000    0.000    0.000    0.000 rcsetup.py:57(func)
       10    0.000    0.000    0.000    0.000 dtypes.py:85(is_dtype)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2057(IPv6Interface)
        1    0.000    0.000    0.000    0.000 case.py:341(TestCase)
      196    0.000    0.000    0.000    0.000 arrayprint.py:810(<genexpr>)
        1    0.000    0.000    0.000    0.000 datetime.py:1949(timezone)
       82    0.000    0.000    0.000    0.000 enum.py:820(_high_bit)
      371    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       58    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       12    0.000    0.000    0.000    0.000 pyparsing.py:4735(<lambda>)
       14    0.000    0.000    0.000    0.000 pyparsing.py:640(__iadd__)
        1    0.000    0.000    0.000    0.000 numeric.py:26(NumericIndex)
        5    0.000    0.000    0.000    0.000 common.py:223(is_datetimetz)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:331(prep_simple)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
      194    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      137    0.000    0.000    0.000    0.000 pyparsing.py:2039(setWhitespaceChars)
        2    0.000    0.000    0.000    0.000 pyparsing.py:1265(addParseAction)
       30    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 internals.py:4363(__init__)
        1    0.000    0.000    0.000    0.000 cast.py:935(maybe_cast_to_datetime)
        7    0.000    0.000    0.000    0.000 parser.py:298(_convert)
        1    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
       16    0.000    0.000    0.000    0.000 enum.py:310(__getattr__)
       18    0.000    0.000    0.000    0.000 sre_compile.py:393(_generate_overlap_table)
        4    0.000    0.000    0.000    0.000 pyparsing.py:1998(__invert__)
        3    0.000    0.000    0.000    0.000 datetime.py:1368(__new__)
      189    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 pyparsing.py:3807(__init__)
        1    0.000    0.000    0.000    0.000 generic.py:7032(_add_series_only_operations)
        2    0.000    0.000    0.000    0.000 inspect.py:2714(__init__)
        1    0.000    0.000    0.000    0.000 tile.py:3(<module>)
       15    0.000    0.000    0.000    0.000 pyparsing.py:3995(__str__)
       11    0.000    0.000    0.000    0.000 rcsetup.py:73(_listify_validator)
        1    0.000    0.000    0.000    0.000 __init__.py:1035(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:302(loads)
        1    0.000    0.000    0.000    0.000 twodim_base.py:3(<module>)
        4    0.000    0.000    0.000    0.000 weakref.py:102(__init__)
      136    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 connection.py:10(<module>)
      281    0.000    0.000    0.000    0.000 pyparsing.py:2634(<genexpr>)
      158    0.000    0.000    0.000    0.000 pyparsing.py:3370(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:1078(<listcomp>)
       13    0.000    0.000    0.000    0.000 nanops.py:60(__init__)
        1    0.000    0.000    0.000    0.000 core.py:3056(view)
        1    0.000    0.000    0.000    0.000 format.py:149(<module>)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
       23    0.000    0.000    0.000    0.000 os.py:742(encode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:106(_write_atomic)
       20    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 transforms.py:2115(IdentityTransform)
        1    0.000    0.000    0.000    0.000 pytables.py:3766(LegacyTable)
        1    0.000    0.000    0.000    0.000 ticker.py:1786(MaxNLocator)
        1    0.000    0.000    0.000    0.000 colors.py:64(__init__)
       13    0.000    0.000    0.000    0.000 pyparsing.py:3759(__str__)
       53    0.000    0.000    0.000    0.000 pyparsing.py:186(__init__)
      101    0.000    0.000    0.000    0.000 ssl.py:134(<lambda>)
        4    0.000    0.000    0.000    0.000 ssl.py:360(__new__)
        1    0.000    0.000    0.000    0.000 inspect.py:2385(_ParameterKind)
        3    0.000    0.000    0.000    0.000 result.py:12(failfast)
        1    0.000    0.000    0.000    0.000 pickle.py:986(_Unpickler)
       40    0.000    0.000    0.000    0.000 numerictypes.py:155(english_upper)
       30    0.000    0.000    0.000    0.000 numerictypes.py:444(_add_array_type)
        2    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
       84    0.000    0.000    0.000    0.000 lazy.py:145(lazy)
       66    0.000    0.000    0.000    0.000 traceback.py:239(__init__)
        5    0.000    0.000    0.000    0.000 generic.py:7118(_doc_parms)
        1    0.000    0.000    0.000    0.000 parser.py:1185(_tzparser)
        2    0.000    0.000    0.000    0.000 core.py:6421(__init__)
        1    0.000    0.000    0.000    0.000 linalg.py:74(_determine_error_states)
      196    0.000    0.000    0.000    0.000 arrayprint.py:822(<genexpr>)
        5    0.000    0.000    0.000    0.000 warnings.py:159(_add_filter)
        9    0.000    0.000    0.000    0.000 posixpath.py:75(join)
       51    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        3    0.000    0.000    0.000    0.000 pyparsing.py:3142(__init__)
       97    0.000    0.000    0.000    0.000 pyparsing.py:4759(<genexpr>)
       18    0.000    0.000    0.000    0.000 rcsetup.py:898(_validate_linestyle)
       37    0.000    0.000    0.000    0.000 pyparsing.py:388(__getitem__)
        1    0.000    0.000    0.000    0.000 internals.py:2921(make_block)
        1    0.000    0.000    0.000    0.000 common.py:207(_default_index)
        2    0.000    0.000    0.000    0.000 config.py:223(__call__)
        1    0.000    0.000    0.000    0.000 random.py:87(__init__)
        1    0.000    0.000    0.000    0.000 tokenize.py:355(detect_encoding)
        1    0.000    0.000    0.000    0.000 fnmatch.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        3    0.000    0.000    0.000    0.000 posixpath.py:232(expanduser)
        5    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        1    0.000    0.000    0.000    0.000 cast.py:838(maybe_infer_to_datetimelike)
        5    0.000    0.000    0.000    0.000 common.py:334(is_datetime64tz_dtype)
        3    0.000    0.000    0.000    0.000 utils.py:118(deprecate)
        3    0.000    0.000    0.000    0.000 ufunclike.py:14(_deprecate_out_named_y)
        1    0.000    0.000    0.000    0.000 random.py:96(seed)
       43    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       13    0.000    0.000    0.000    0.000 contextlib.py:85(__exit__)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
        3    0.000    0.000    0.000    0.000 queue.py:115(put)
       31    0.000    0.000    0.000    0.000 pyparsing.py:2409(parseImpl)
        5    0.000    0.000    0.000    0.000 common.py:191(is_categorical)
       14    0.000    0.000    0.000    0.000 getlimits.py:532(max)
        1    0.000    0.000    0.000    0.000 numerictypes.py:429(_construct_char_code_lookup)
      161    0.000    0.000    0.000    0.000 enum.py:628(<lambda>)
       37    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
        1    0.000    0.000    0.000    0.000 __init__.py:2594(_StringFuncParser)
        7    0.000    0.000    0.000    0.000 offsets.py:194(__init__)
       34    0.000    0.000    0.000    0.000 accessor.py:112(_create_delegator_method)
        1    0.000    0.000    0.000    0.000 common.py:1596(is_extension_type)
        3    0.000    0.000    0.000    0.000 _common.py:98(_validate_fromutc_inputs)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1735(_parse_hextet)
      101    0.000    0.000    0.000    0.000 ssl.py:139(<lambda>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:339(_add_integer_aliases)
       57    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       86    0.000    0.000    0.000    0.000 rcsetup.py:159(validate_float)
        8    0.000    0.000    0.000    0.000 rcsetup.py:874(validate_animation_writer_path)
       10    0.000    0.000    0.000    0.000 generic.py:262(set_axis)
        2    0.000    0.000    0.000    0.000 decoder.py:334(decode)
        1    0.000    0.000    0.000    0.000 offsets.py:2808(Day)
        1    0.000    0.000    0.000    0.000 numeric.py:138(Int64Index)
        2    0.000    0.000    0.000    0.000 config.py:96(_get_option)
        7    0.000    0.000    0.000    0.000 six.py:159(_resolve)
      101    0.000    0.000    0.000    0.000 ssl.py:124(<lambda>)
        1    0.000    0.000    0.000    0.000 lazy.py:114(<listcomp>)
        2    0.000    0.000    0.000    0.000 core.py:2902(_update_from)
        1    0.000    0.000    0.000    0.000 numeric.py:2157(identity)
        6    0.000    0.000    0.000    0.000 posixpath.py:331(normpath)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
       29    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
        3    0.000    0.000    0.000    0.000 pyparsing.py:2023(suppress)
        1    0.000    0.000    0.000    0.000 internals.py:107(__init__)
       19    0.000    0.000    0.000    0.000 inspect.py:2435(__init__)
        1    0.000    0.000    0.000    0.000 lazy.py:168(<listcomp>)
       26    0.000    0.000    0.000    0.000 arrayprint.py:72(<dictcomp>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:21(<module>)
       13    0.000    0.000    0.000    0.000 contextlib.py:59(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
       68    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      159    0.000    0.000    0.000    0.000 expr.py:197(_node_not_implemented)
      102    0.000    0.000    0.000    0.000 pyparsing.py:2137(streamline)
        3    0.000    0.000    0.000    0.000 pyparsing.py:4270(__init__)
        1    0.000    0.000    0.000    0.000 offsets.py:137(DateOffset)
        1    0.000    0.000    0.000    0.000 parser.py:485(parser)
       25    0.000    0.000    0.000    0.000 ipaddress.py:476(_prefix_from_prefix_string)
      101    0.000    0.000    0.000    0.000 ssl.py:149(<lambda>)
        1    0.000    0.000    0.000    0.000 core.py:6274(__array_finalize__)
        1    0.000    0.000    0.000    0.000 _polybase.py:19(ABCPolyBase)
        3    0.000    0.000    0.000    0.000 utils.py:74(__call__)
      226    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       12    0.000    0.000    0.000    0.000 pyparsing.py:1545(resetCache)
        2    0.000    0.000    0.000    0.000 rcsetup.py:193(validate_axisbelow)
        1    0.000    0.000    0.000    0.000 range.py:56(__new__)
        1    0.000    0.000    0.000    0.000 category.py:749(_add_accessors)
        1    0.000    0.000    0.000    0.000 inference.py:1(<module>)
       44    0.000    0.000    0.000    0.000 six.py:105(__init__)
      166    0.000    0.000    0.000    0.000 ipaddress.py:417(_check_int_address)
       24    0.000    0.000    0.000    0.000 tokenize.py:148(<listcomp>)
       16    0.000    0.000    0.000    0.000 enum.py:65(__init__)
       66    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:622(_load_backward_compatible)
        1    0.000    0.000    0.000    0.000 normalize.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
       10    0.000    0.000    0.000    0.000 rcsetup.py:294(__call__)
        5    0.000    0.000    0.000    0.000 generic.py:1796(_create_indexer)
        5    0.000    0.000    0.000    0.000 base.py:4030(_add_numeric_methods_unary)
       24    0.000    0.000    0.000    0.000 config.py:692(config_prefix)
        7    0.000    0.000    0.000    0.000 config.py:794(is_one_of_factory)
       12    0.000    0.000    0.000    0.000 printing.py:187(as_escaped_unicode)
      101    0.000    0.000    0.000    0.000 ssl.py:129(<lambda>)
        8    0.000    0.000    0.000    0.000 core.py:2541(_arraymethod)
        1    0.000    0.000    0.000    0.000 numerictypes.py:380(_set_up_aliases)
       19    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
        3    0.000    0.000    0.000    0.000 os.py:672(__setitem__)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f5bb8742268}
        1    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:32(<listcomp>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1245(IPv4Address)
        1    0.000    0.000    0.000    0.000 argparse.py:159(HelpFormatter)
       14    0.000    0.000    0.000    0.000 numerictypes.py:182(english_capitalize)
       43    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
        1    0.000    0.000    0.000    0.000 timedeltas.py:3(<module>)
        1    0.000    0.000    0.000    0.000 offsets.py:2813(Hour)
        1    0.000    0.000    0.000    0.000 uu.py:31(<module>)
        4    0.000    0.000    0.000    0.000 function_base.py:2695(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1059(_SubParsersAction)
        5    0.000    0.000    0.000    0.000 datetime.py:278(_check_date_fields)
        2    0.000    0.000    0.000    0.000 pathlib.py:390(_wrap_binary_strfunc)
        2    0.000    0.000    0.000    0.000 sre_compile.py:381(_bytes_to_codes)
        2    0.000    0.000    0.000    0.000 os.py:678(__delitem__)
        2    0.000    0.000    0.000    0.000 posixpath.py:369(abspath)
        1    0.000    0.000    0.000    0.000 _depr_module.py:4(<module>)
       18    0.000    0.000    0.000    0.000 rcsetup.py:652(__call__)
        1    0.000    0.000    0.000    0.000 sysconfig.py:42(_is_python_source_dir)
        1    0.000    0.000    0.000    0.000 sysconfig.py:51(_python_build)
        3    0.000    0.000    0.000    0.000 dtypes.py:430(construct_from_string)
       51    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        4    0.000    0.000    0.000    0.000 {built-in method _ssl.txt2obj}
        1    0.000    0.000    0.000    0.000 pprint.py:98(PrettyPrinter)
        1    0.000    0.000    0.000    0.000 __init__.py:769(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1083(__init__)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:4(<module>)
       38    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
        2    0.000    0.000    0.000    0.000 datetime.py:1048(__new__)
        1    0.000    0.000    0.000    0.000 twodim_base.py:140(eye)
       10    0.000    0.000    0.000    0.000 sre_parse.py:257(getwhile)
        1    0.000    0.000    0.000    0.000 enum.py:848(<listcomp>)
        4    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        5    0.000    0.000    0.000    0.000 genericpath.py:39(isdir)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:373(_calc_mode)
       27    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _version.py:22(get_versions)
       37    0.000    0.000    0.000    0.000 __init__.py:22(<genexpr>)
        1    0.000    0.000    0.000    0.000 sql.py:945(SQLDatabase)
        1    0.000    0.000    0.000    0.000 feather_format.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cycler.py:468(cycler)
        1    0.000    0.000    0.000    0.000 __init__.py:219(Verbose)
        1    0.000    0.000    0.000    0.000 __init__.py:669(_get_data_path_cached)
        1    0.000    0.000    0.000    0.000 offsets.py:695(BusinessHourMixin)
        3    0.000    0.000    0.000    0.000 config.py:78(_get_single_key)
      188    0.000    0.000    0.000    0.000 ipaddress.py:550(__int__)
        1    0.000    0.000    0.000    0.000 ssl.py:376(Purpose)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
