         296499595 function calls (296492157 primitive calls) in 164.738 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      359    0.003    0.000    0.003    0.000 {method 'read' of '_io.FileIO' objects}
      810    0.003    0.000    0.003    0.000 {built-in method numpy.core.multiarray.copyto}
        1    0.000    0.000    0.003    0.003 internals.py:1(<module>)
      702    0.001    0.000    0.003    0.000 arrayprint.py:862(__call__)
        2    0.000    0.000    0.003    0.001 __init__.py:9(<module>)
        1    0.000    0.000    0.003    0.003 parse.py:28(<module>)
      401    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
        1    0.000    0.000    0.003    0.003 packers.py:39(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:97(<module>)
     3465    0.001    0.000    0.003    0.000 sre_parse.py:253(get)
5708/5704    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.002    0.002 tokenize.py:21(<module>)
        1    0.000    0.000    0.002    0.002 socket.py:47(<module>)
      119    0.001    0.000    0.002    0.000 sre_compile.py:482(_compile_info)
        1    0.000    0.000    0.002    0.002 series.py:4(<module>)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
        1    0.000    0.000    0.002    0.002 transforms.py:30(<module>)
        1    0.000    0.000    0.002    0.002 frame.py:236(DataFrame)
   121/59    0.000    0.000    0.002    0.000 pyparsing.py:3343(<listcomp>)
       11    0.000    0.000    0.002    0.000 pyparsing.py:2631(__init__)
        4    0.000    0.000    0.002    0.001 generic.py:6906(_add_numeric_operations)
        1    0.000    0.000    0.002    0.002 numerictypes.py:82(<module>)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
        7    0.000    0.000    0.002    0.000 pyparsing.py:1586(parseString)
        1    0.000    0.000    0.002    0.002 hashlib.py:54(<module>)
     1064    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
     3064    0.002    0.000    0.002    0.000 enum.py:515(__new__)
       58    0.000    0.000    0.002    0.000 pyparsing.py:3270(<listcomp>)
       21    0.000    0.000    0.002    0.000 pyparsing.py:1227(setParseAction)
      846    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
       23    0.000    0.000    0.002    0.000 pyparsing.py:1016(_trim_arity)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
      702    0.001    0.000    0.002    0.000 fromnumeric.py:1427(ravel)
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
        1    0.000    0.000    0.002    0.002 generic.py:98(NDFrame)
     1064    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.002    0.002 config.py:49(<module>)
       22    0.000    0.000    0.002    0.000 pyparsing.py:1024(extract_stack)
        1    0.000    0.000    0.002    0.002 signals.py:1(<module>)
      421    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:318(__exit__)
       68    0.000    0.000    0.002    0.000 ops.py:1196(_arith_method_FRAME)
       36    0.000    0.000    0.002    0.000 abc.py:132(__new__)
       12    0.000    0.000    0.002    0.000 threading.py:828(start)
       22    0.000    0.000    0.002    0.000 traceback.py:196(extract_stack)
      278    0.001    0.000    0.002    0.000 function_base.py:4533(add_newdoc)
        1    0.000    0.000    0.002    0.002 pytables.py:1(<module>)
17732/17453    0.002    0.000    0.002    0.000 {built-in method builtins.len}
    15439    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.002    0.002 pickle.py:24(<module>)
     4307    0.002    0.000    0.002    0.000 sre_parse.py:232(__next)
     8847    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
  973/486    0.001    0.000    0.002    0.000 sre_parse.py:173(getwidth)
       22    0.000    0.000    0.002    0.000 traceback.py:313(extract)
       53    0.001    0.000    0.002    0.000 model_comprehension1.py:180(lemmatisation2)
        1    0.000    0.000    0.002    0.002 request.py:68(<module>)
       29    0.002    0.000    0.002    0.000 {built-in method io.open}
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
      598    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
      831    0.002    0.000    0.002    0.000 {built-in method numpy.core.multiarray.empty}
        1    0.000    0.000    0.002    0.002 string.py:15(<module>)
        1    0.000    0.000    0.002    0.002 datetimes.py:1(<module>)
    192/7    0.001    0.000    0.002    0.000 pyparsing.py:1347(_parseNoCache)
        1    0.000    0.000    0.002    0.002 testing.py:5(<module>)
     39/7    0.000    0.000    0.002    0.000 pyparsing.py:3375(parseImpl)
     1026    0.002    0.000    0.002    0.000 {built-in method numpy.core.multiarray.dragon4_positional}
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
      401    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
        1    0.000    0.000    0.002    0.002 string.py:65(__init__)
        1    0.000    0.000    0.002    0.002 eval.py:4(<module>)
     2335    0.001    0.000    0.002    0.000 sre_parse.py:163(__getitem__)
      405    0.001    0.000    0.002    0.000 model_comprehension1.py:239(decay)
        1    0.000    0.000    0.002    0.002 datetimelike.py:3(<module>)
        1    0.000    0.000    0.002    0.002 fontconfig_pattern.py:77(__init__)
        1    0.000    0.000    0.001    0.001 series.py:120(Series)
      897    0.001    0.000    0.001    0.000 model_comprehension1.py:70(get_word_id)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4882(makeHTMLTags)
        1    0.000    0.000    0.001    0.001 pyparsing.py:4853(_makeTags)
      532    0.000    0.000    0.001    0.000 arrayprint.py:837(<genexpr>)
      358    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
        1    0.000    0.000    0.001    0.001 frame.py:4(<module>)
        1    0.000    0.000    0.001    0.001 panel4d.py:1(<module>)
     2440    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      878    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0xa55ea0}
      702    0.001    0.000    0.001    0.000 {built-in method numpy.core.multiarray.concatenate}
        1    0.000    0.000    0.001    0.001 groupby.py:3052(SeriesGroupBy)
     1404    0.000    0.000    0.001    0.000 numeric.py:495(asanyarray)
        1    0.000    0.000    0.001    0.001 dtypes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 colors.py:45(<module>)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
      119    0.000    0.000    0.001    0.000 sre_parse.py:828(fix_flags)
        2    0.000    0.000    0.001    0.001 panel.py:1524(_add_aggregate_operations)
       13    0.000    0.000    0.001    0.000 enum.py:623(<listcomp>)
      429    0.001    0.000    0.001    0.000 copy.py:268(_reconstruct)
